ID,Name,Studies at,Degree,Born,Validity,ISIC card number,Magnetic stripe
11000,"Rasuli, Najmeh.",University of Tehran,Bachelor of Science,01/07/1999,09/2021-12/2022,S 098 000 038 502 N,98000038502590
11090,"Fadavi sameti, Mehdi.",University of Tehran,Ph.D.,04/07/1994,09/2021-12/2023,S 098 000 038 503 E,98000038503203
11565,"Jafari asl, Mahdi.",Roshdiyeh Higher Education institute,Bachelor of Science,20/12/1997,09/2021-12/2024,S 098 000 038 504 G,98000038504007
12554,"Hosseini, Seyede mahboobeh.",Allameh Tabataba’i University,Ph.D.,24/02/1990,09/2021-12/2025,S 098 000 038 505 H,98000038505710
16882,"Gharahsooflou, Reza.",Golestan University,Bachelor of Science,30/07/1998,09/2021-12/2026,S 098 000 038 506 J,98000038506424
17028,"Mahdi sasan, Morteza.",Sahand University of Technology,Ph.D.,18/02/1983,09/2021-12/2027,S 098 000 038 507 L,98000038507138
17434,"Fathollahi nowshahr, Farzin.",K.N.Toosi University of Technology,Master of Science,24/01/1994,09/2021-12/2028,S 098 000 038 508 N,98000038508941
17628,"Masoudi zad, Parisa.",Isfahan University of Art,Bachelor of Science,27/06/1999,09/2021-12/2029,S 098 000 038 509 P,98000038509655
17934,"Tabasi, Mohammadamin.",N.Khorasan University of Medical Sci.,General Practitioner,21/04/1997,09/2021-12/2030,S 098 000 038 510 Y,98000038510997
18121,"Hassanpour, Aria.",IAU  Medical Branch,General Practitioner,01/01/1998,09/2021-12/2031,S 098 000 038 511 F,98000038511600
18816,"Fathi, Mansour.",Isfahan University of Technology,Master of Science,21/03/1997,09/2021-12/2032,S 098 000 038 512 G,98000038512304
19322,"Kashef, Negar.",University of Tehran,Bachelor of Science,07/01/1998,09/2021-12/2033,S 098 000 038 513 J,98000038513018
20071,"Rueentan, Mohammad.",University of Tehran,Bachelor of Science,05/04/2000,09/2021-12/2034,S 098 000 038 514 K,98000038514821
20165,"Aria, Hamid.",University of Tehran,Ph.D.,22/09/1990,09/2021-12/2035,S 098 000 038 515 M,98000038515535
20970,"Zarei, Alireza.",Tabnak Higher Education Institute,Master of Science,04/02/1998,09/2021-12/2036,S 098 000 038 516 N,98000038516249
23305,"Cheshfar, Mohammad.",Sh.Rajaee Teacher Training University,Ph.D.,19/09/1985,09/2021-12/2037,S 098 000 038 517 G,98000038517052
23947,"Afaghi, Behnam.",Technical and Vocational University,Bachelor of Science,28/03/1998,09/2021-12/2038,S 098 000 038 518 S,98000038518766
23978,"Sadeghzadeh, Ehsan.",Urmia University,Bachelor of Science,22/04/1999,09/2021-12/2039,S 098 000 038 519 K,98000038519470
23989,"Sahandi zangabad, Keyvan.",Sahand University of Technology,Ph.D.,17/06/1997,09/2021-12/2040,S 098 000 038 520 H,98000038520701
24111,"Ahmadi, Fardin.",Islamic Azad University,Ph.D.,23/09/1979,09/2021-12/2041,S 098 000 038 521 J,98000038521415
24347,"Somayeh, Rezaei.",Shahrekord University of Medical Sci.,Ph.D.,26/03/1988,09/2021-12/2042,S 098 000 038 522 L,98000038522129
24402,"Jamshidi, Mohsen.",Other Universities,Bachelor of Science,11/08/1992,09/2021-12/2043,S 098 000 038 523 N,98000038523932
24705,"Davoudi gorabzarmakhi, Hadiseh.",University of Tehran,Ph.D.,01/12/1991,09/2021-12/2044,S 098 000 038 524 P,98000038524646
24777,"Mohammadamini, Milad.",Islamic Azad University,Bachelor of Science,12/07/1998,09/2021-12/2045,S 098 000 038 525 H,98000038525350
24925,"Karbasi, Maryam.",University of Tehran,Ph.D.,21/09/1990,09/2021-12/2046,S 098 000 038 526 J,98000038526063
25441,"Hasangholipour, Hamid.",University of Tehran,Ph.D.,20/06/1981,09/2021-12/2047,S 098 000 038 527 V,98000038527877
26269,"Chakeralhoseini, Mohammad hosein.",Isfahan University of Technology,Bachelor of Science,11/03/1998,09/2021-12/2048,S 098 000 038 528 M,98000038528580
26458,"Karimi, Ali.",Isfahan University of Technology,Bachelor of Science,18/06/1999,09/2021-12/2049,S 098 000 038 529 N,98000038529294
26461,"Karimi, Hamidreza.",Islamic Azad University,Master of Science,03/12/1997,09/2021-12/2050,S 098 000 038 530 M,98000038530526
26721,"Amini kalahroudi, Mohadeseh.",University of Tehran,Ph.D.,04/02/1992,09/2021-12/2051,S 098 000 038 531 E,98000038531230
27756,"Farahbakhsh, Nastaran.",Isfahan University of Technology,Ph.D.,04/02/1993,09/2021-12/2052,S 098 000 038 532 G,98000038532043
27881,"Karimzadeh, Nazanin.",Isfahan University of Technology,Bachelor of Science,02/03/2000,09/2021-12/2053,S 098 000 038 533 S,98000038533757
27988,"Aghanasiri, Pouria.",University of Tehran,Bachelor of Science,14/02/1999,09/2021-12/2054,S 098 000 038 534 J,98000038534460
28007,"Rezaee nodehi, Arash.",University of Tehran,Bachelor of Science,20/10/1997,09/2021-12/2055,S 098 000 038 535 L,98000038535174
28103,"Rahnavard, Shokooh.",University of Tehran,Master of Science,11/11/1996,09/2021-12/2056,S 098 000 038 536 Y,98000038536988
28154,"Mahmoudianmehr, Ali.",Shahid Beheshti University,Master of Science,31/12/1998,09/2021-12/2057,S 098 000 038 537 P,98000038537691
28187,"Jaberi, Fatemeh zahra.",Isfahan University of Technology,Bachelor of Science,13/11/1999,09/2021-12/2058,S 098 000 038 538 H,98000038538305
28247,"Karimi, Mohamad reza.",University of Tehran,Ph.D.,22/04/1994,09/2021-12/2059,S 098 000 038 539 J,98000038539009
28352,"Sharifi, Hossein.",Sh.Beheshti University of Medical Sci.,General Practitioner,12/04/2000,09/2021-12/2060,S 098 000 038 540 G,98000038540340
28999,"Roohi golkhatmi, Mohsen.",Ferdowsi University of Mashhad,Ph.D.,10/07/1969,09/2021-12/2061,S 098 000 038 541 J,98000038541054
29021,"Ghaffarzadegan rabati, Vahid.",Allameh Tabataba’i University,Ph.D.,11/09/1987,09/2021-12/2062,S 098 000 038 542 V,98000038542868
29201,"Lotfi, Ahad.",Yazd University,Ph.D.,20/05/1988,09/2021-12/2063,S 098 000 038 543 M,98000038543571
29335,"Sobhani, Bashir.",Ferdowsi University of Mashhad,Ph.D.,22/06/1986,09/2021-12/2064,S 098 000 038 544 N,98000038544285
30325,"Haji hesari, Hosein.",Arak University of Technology,Bachelor of Science,05/06/1999,09/2021-12/2065,S 098 000 038 545 R,98000038545099
